,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
235,600527,江南高纤,0.1,436.46,,6.86,,16807.17,544.43,,08-11
236,601177,杭齿前进,0.12,357.31,,2.77,,4629.7,358.22,,08-11
237,002955,鸿合科技,-0.14,-113.46,,-1.12,,-3268.91,-129.03,,08-11
238,300291,华录百纳,0.06,-25.57,,1.55,,4804.95,-25.53,,08-11
239,605366,宏柏新材,0.28,-12.5,3.53,8.21,0.31,6925.21,-13.72,,08-11
240,000670,*ST盈方,-0.01,-81.21,,,,-736.05,-81.18,,08-11
241,300767,震安科技,0.65,4.38,,9.17,,9298.37,114.73,,08-11
242,000488,晨鸣纸业,0.05,292.31,,0.84,,51632.67,1.28,,08-11
243,600211,西藏药业,1.1,23.6,,8.85,,21990.71,39.76,,08-11
244,002745,木林森,0.18,-41.94,,2.22,,23006.84,-41.58,,08-11
245,603330,上海天洋,0.08,-20.0,,1.5,,922.11,-15.44,,08-11
246,300666,江丰电子,0.19,216.67,,6.24,,4083.4,196.11,,08-11
247,300740,御家汇,0.09,500.0,,2.72,,3362.84,464.19,,08-11
248,002346,柘中股份,0.01,-96.56,,0.12,,241.22,-96.61,,08-11
249,002557,洽洽食品,0.58,34.28,,7.58,,29520.97,33.97,,08-11
250,002788,鹭燕医药,0.4,8.11,,7.0,,13002.99,7.22,,08-11
251,603367,辰欣药业,0.4,-28.57,,3.85,,17966.59,-28.96,,08-11
252,300320,海达股份,0.13,-22.4,,4.6,,7894.97,-22.37,,08-11
